property_ID,locality_name,postal_code,type,subtype,price (€),number_of_bedrooms,living_area (m²),"equiped_kitchen (yes:1, no:0)","furnished (yes:1, no:0)","open_fire (yes:1, no:0)","terrace (yes:1, no:0)",terrace_area (m²),"garden (yes:1, no:0)",number_facades,"swimming_pool (yes:1, no:0)",state_of_building
RBU61577,Stoelstraat 3 0.3,2000.0,Apartment,Apartment,235000.0,1.0,61.0,1,0,0,0,,0,,0,Normal
RBU61489,Twee Netenstraat 74,2060.0,Apartment,Apartment,189000.0,1.0,58.0,0,0,0,0,,0,,0,
RBU61399,Gerheide 64-66,2490.0,House,Residence,349000.0,4.0,318.0,0,0,0,1,,1,3.0,0,
RBU61418,Mechelsesteenweg 132 2,2640.0,Apartment,Apartment,195000.0,2.0,78.0,0,0,0,1,,0,2.0,0,To be renovated
RBU61422,Schransstraat 35 B 102,2280.0,Apartment,Apartment,,2.0,100.0,0,0,0,1,11.0,0,,0,Normal
RBU61293,Paardenstraat 4,2580.0,House,Residence,495000.0,4.0,215.0,0,0,0,0,,1,4.0,0,To be renovated
RBU61402,Eindhoutseweg 456,2440.0,House,Chalet,90000.0,2.0,66.0,0,0,0,1,,0,4.0,0,Normal
RBU61415,Zeelandstraat 67 505,2660.0,Apartment,Apartment,264500.0,2.0,86.0,0,0,0,1,,0,2.0,0,New
RBU61362,Hazelaar 37,2430.0,House,Residence,386500.0,3.0,130.0,0,0,0,1,,1,3.0,0,
RWC41137,Prins Kavellei 33,2930.0,House,Residence,459000.0,3.0,176.0,1,0,1,1,50.0,1,2.0,0,Excellent
RBU61291,Misstraat 72,2500.0,House,Villa,,5.0,647.0,0,0,0,0,,1,4.0,0,Excellent
RBU61403,Laarsebaan 297,2170.0,House,Residence,439000.0,4.0,189.0,0,0,0,1,,1,2.0,0,Normal
RBU61382,Oostendestraat 52,2660.0,House,Residence,299000.0,3.0,176.0,0,0,0,0,,1,,0,Normal
RBU61285,Trommelstraat 5,2223.0,House,Residence,1195000.0,3.0,404.0,0,0,0,1,,1,4.0,0,Excellent
RBU61412,Mechelbaan 526 301,2580.0,Apartment,Apartment,379000.0,2.0,93.0,0,0,0,1,,0,,0,Normal
RBU61330,Grasdorp 23,2400.0,House,Residence,560000.0,3.0,184.0,0,0,0,1,17.0,1,4.0,0,
RBU61423,Boekweitstraat 14,2830.0,House,Residence,427000.0,3.0,143.0,0,0,0,1,25.0,1,2.0,0,
RBU61404,Sint-Camillusstraat 9,2610.0,House,Residence,264000.0,2.0,107.0,0,0,0,1,,0,2.0,0,To be renovated
RBU61331,Oevelseweg 99 A,2250.0,House,Residence,479000.0,3.0,200.0,0,0,0,1,,1,2.0,0,
RBU61419,Grotesteenweg 432 404,2600.0,Apartment,Apartment,249000.0,2.0,70.0,0,0,0,1,,0,2.0,0,Normal
RBU61334,. 0,2600.0,Apartment,Apartment,349000.0,2.0,115.0,0,0,0,1,,0,,0,
RBU60989,Werkendam 108,2360.0,House,Residence,329000.0,3.0,171.0,0,0,0,1,,1,4.0,0,To be renovated
RBU61034,Plasstraat 72,2820.0,House,Residence,905000.0,4.0,300.0,0,0,0,0,,1,,0,
RBU60985,Grote Baan 67,2380.0,House,Residence,309000.0,3.0,265.0,0,0,0,1,20.0,0,2.0,0,
RBU61055,Laarstraat 13,2070.0,House,Residence,385000.0,4.0,193.0,0,0,0,1,,1,2.0,0,Excellent
RBU61002,Molenheidedreef 30,2275.0,House,Residence,349000.0,2.0,99.0,0,0,0,1,,1,4.0,0,Excellent
