property_ID,locality_name,postal_code,type,subtype,price (€),number_of_bedrooms,living_area (m²),"equiped_kitchen (yes:1, no:0)","furnished (yes:1, no:0)","open_fire (yes:1, no:0)","terrace (yes:1, no:0)",terrace_area (m²),"garden (yes:1, no:0)",number_facades,"swimming_pool (yes:1, no:0)",state_of_building
VBD36359,Rue des Liserons 44,6030,House,Residence,147000.0,4.0,165.0,0,0,0,1,30.0,1,3.0,0,Normal
VBD36365,Rue des bonniers 62,7331,House,Villa,500000.0,6.0,244.0,0,0,0,1,59.0,1,4.0,0,Normal
VBD28082,Rue de l'Infante Isabelle 107,7110,Apartment,Apartment,89500.0,1.0,,0,0,0,0,,0,,0,
VBD37414,Rue des Écluses 68,7080,House,Residence,125000.0,2.0,107.0,0,0,0,0,,1,2.0,0,Normal
VBD35756,,6220,House,Residence,245000.0,3.0,169.0,1,0,0,1,,1,3.0,0,Normal
VBD36290,,6240,House,Residence,99000.0,3.0,120.0,1,0,0,1,10.0,1,2.0,0,To renovate
VBD37240,Rue du Rivage 21,7110,House,Villa,265000.0,3.0,172.0,0,0,0,1,,1,4.0,0,To renovate
VBD36874,,6470,House,Residence,279000.0,3.0,201.0,0,0,0,0,,1,2.0,0,
VBD36364,De la Croix Cailloux 88,7334,House,Residence,395000.0,4.0,194.0,0,0,1,1,97.0,1,4.0,0,To renovate
VBD36291,,6001,House,Villa,260000.0,3.0,114.0,1,0,0,1,,1,4.0,0,To renovate
VBD37689,,6030,House,Residence,169000.0,3.0,130.0,0,0,0,1,31.0,1,2.0,0,To be renovated
VBD36878,,6470,House,Residence,445000.0,3.0,205.0,0,0,0,1,60.0,1,4.0,0,
VBD36855,Rue Notre-Dame 25 A,6200,Apartment,Apartment,139000.0,2.0,,0,0,0,1,,0,,0,
VBD36698,Chemin de la Cay?de 75,6040,House,Residence,55000.0,1.0,,0,0,0,1,,1,,0,To be renovated
VBD33805,Grand Rue 45,6530,House,Residence,169000.0,3.0,166.0,0,0,0,1,10.0,0,2.0,0,
VBD33633,Rue d'Italie 2,6000,Apartment,Apartment,149000.0,4.0,167.0,0,1,0,0,,0,,0,Normal
VBD32862,Rue Saint Lazare 55,7000,House,Residence,725000.0,8.0,418.0,0,0,1,1,75.0,1,3.0,0,Normal
VBD33362,Rue du Parc 1,7170,Apartment,Apartment,215000.0,2.0,169.0,1,0,0,0,,0,2.0,0,Normal
VBD33764,Grand Place 25,6470,House,Residence,149000.0,4.0,180.0,0,0,0,0,,1,3.0,0,To be renovated
VBD18288,Rue de Namur 150 8,7134,House,Residence,310000.0,3.0,182.0,1,0,0,1,30.0,1,2.0,0,Normal
VBD32442,Chaussée de Gilly 47,6043,House,Residence,530000.0,3.0,258.0,0,0,0,1,,1,,0,Normal
VBD34802,Boulevard Joseph Tirou 13,6000,Apartment,Apartment,106000.0,1.0,76.0,0,0,0,1,1.0,0,,0,Normal
VBD32859,Rue Hoyas 41,6001,House,Residence,315000.0,4.0,200.0,0,0,0,1,,1,3.0,0,Normal
VBD32448,Rue Trieu du Charnoy 41,6280,House,Residence,545000.0,3.0,167.0,0,0,0,0,,1,4.0,0,Normal
VBD33051,,6200,Apartment,Apartment,179000.0,2.0,93.0,0,0,0,1,6.0,0,2.0,0,Normal
VBD33464,Rue des Laminoirs 4,7100,House,Residence,210000.0,3.0,152.0,1,0,0,1,,1,2.0,0,
VBC68348,Rue des sorbiers 20 Bray,7130,House,Residence,78000.0,2.0,69.0,1,0,0,0,,1,,0,
VBD33814,,7782,House,Residence,499000.0,6.0,296.0,0,0,0,1,81.0,1,3.0,1,Normal
VBD34250,,7181,House,Residence,169000.0,2.0,,0,0,0,0,,0,,0,
VBD34513,Avenue de la Crèche 56,6061,Apartment,Apartment,185000.0,1.0,70.0,1,0,0,1,,0,4.0,0,Excellent
VBD32432,Rue de la Station 24 1,6220,Apartment,Apartment,140000.0,2.0,92.0,0,0,0,0,,0,,0,Normal
VBD25959,Rue Adolphe Prayez 1a,7500,House,Residence,169000.0,3.0,126.0,0,0,0,1,,1,3.0,0,To renovate
VBD32647,neuve 32,6061,House,Mixed building,285000.0,6.0,,0,0,0,0,,0,3.0,0,Normal
VBD33049,Rue Joseph Mesdagh 1b,6040,Apartment,Apartment,150000.0,1.0,75.0,0,0,0,0,,1,,0,To be renovated
VBD31801,boulevard Joseph Tirou 13,6000,Apartment,Apartment,105000.0,2.0,71.0,0,0,0,0,,0,,0,Normal
VBD31317,,6120,House,Villa,497000.0,4.0,193.0,1,0,0,1,39.0,1,4.0,0,Excellent
VBD31461,Chaussée de Mons 121,7070,House,Residence,650000.0,4.0,598.0,1,0,1,1,,1,4.0,0,Fully renovated
VBD32202,,6060,Apartment,Apartment,169000.0,3.0,,0,0,0,1,,0,2.0,0,Fully renovated
VBD32431,Rue de la Station 24 2,6220,Apartment,Apartment,140000.0,2.0,92.0,0,0,0,0,,0,2.0,0,Normal
VBD31805,,6120,House,Villa,699000.0,4.0,300.0,0,0,0,1,60.0,1,4.0,0,Excellent
VBD32034,Rue Warmonceau 171,6061,House,Residence,179000.0,4.0,145.0,1,0,0,0,,0,4.0,0,Normal
VBD31466,Rue Houtart 22-22A,6030,House,Residence,140000.0,6.0,230.0,0,0,0,0,,1,2.0,0,To be renovated
VBD32027,,7700,House,Villa,660000.0,4.0,,0,0,0,1,,1,4.0,0,
VBD32025,,7700,House,Residence,261000.0,3.0,,0,0,0,1,,0,2.0,0,
VBD32197,Avenue Albert 1er 12,6032,Apartment,Apartment,135000.0,2.0,82.0,1,0,0,0,,0,2.0,0,Normal
VWD15029,Rue Léon Duray 30,7110,House,Residence,235000.0,4.0,190.0,0,0,0,1,,1,3.0,0,
VBD31685,,6280,House,Residence,220000.0,3.0,82.0,0,0,0,0,,1,3.0,0,
VWD15017,rue Lavalle 18,6120,House,Villa,210000.0,2.0,92.0,1,0,0,1,,1,4.0,0,To be renovated
VBD32360,Rue Tayant 127,6043,House,Residence,135000.0,2.0,71.0,1,0,0,0,,1,3.0,0,Normal
VBD30985,Rue Emile Strimelle 11,6040,House,Residence,159000.0,3.0,167.0,1,0,0,0,,1,2.0,0,Excellent
VBD31947,Rue François Boulanger 15,6120,House,Residence,299000.0,4.0,130.0,0,0,0,0,,1,4.0,0,Normal
VBD31486,,7700,House,Residence,299000.0,4.0,,0,0,0,1,,1,3.0,1,
VBD32069,,6596,House,Residence,150000.0,3.0,149.0,0,0,0,0,,1,4.0,0,
VBD29780,,6280,Apartment,Apartment,379000.0,3.0,118.0,0,0,0,1,,0,,0,Normal
VBD29900,Place de Meslin-l'Evêque 14,7822,House,Residence,220000.0,4.0,238.0,0,0,1,1,36.0,1,2.0,0,To be renovated
VBD30189,Rue de la Gare 37,6250,House,Residence,89000.0,3.0,135.0,1,0,0,0,,0,2.0,0,To renovate
VBD28823,Rue Brigade Piron 249,6061,House,Residence,135000.0,2.0,175.0,0,0,0,0,,0,2.0,0,Normal
VBD28986,,6470,Apartment,Apartment,160000.0,2.0,90.0,0,0,0,0,,1,,0,
VBD30190,Rue des Goutteaux 39,6180,House,Residence,235000.0,4.0,175.0,1,0,0,1,,1,3.0,0,Normal
VBD29591,Rue des Chats 11,6183,House,Residence,249000.0,3.0,181.0,1,0,0,1,,1,3.0,0,Excellent
VBD19063,"Val D'Heure, 14+",6120,House,Villa,549000.0,3.0,260.0,0,0,0,0,,1,4.0,0,To be renovated
VWD14617,rue de Nivelles 91,7110,House,Residence,155000.0,2.0,126.0,1,0,0,0,,1,,0,
VBD28807,Rue Champs des Oiseaux 13,6224,House,Residence,145000.0,2.0,119.0,0,0,0,0,,1,2.0,0,To be renovated
VBD29768,Route de Mons 54,7130,House,Residence,130000.0,1.0,65.0,0,0,0,1,9.0,0,2.0,0,
